217,3697.5,200,200,1,1
218,3697.5,200,200,1,1
219,3697.5,200,200,1,1
220,3697.5,200,200,1,1
221,3697.5,200,200,1,1
222,3697.5,200,200,1,1
223,3697.5,200,200,1,1
224,3697.5,200,200,1,1
225,3697.5,200,200,1,1
226,3697.5,200,200,1,1
227,3697.5,200,200,1,1
228,3697.5,200,200,1,1
229,3697.5,200,200,1,1
230,3697.5,200,200,1,1
231,3697.5,200,200,1,1
232,3697.5,200,200,1,1
233,3697.5,200,200,1,1
234,3697.5,200,200,1,1
235,3697.5,200,200,1,1
236,3697.5,200,200,1,1
237,3697.5,200,200,1,1
238,3697.5,200,200,1,1
239,3697.5,200,200,1,1
240,3697.5,200,200,1,1
241,3697.5,200,200,1,1
242,3697.5,200,200,1,1
243,3697.5,200,200,1,1
244,3697.5,200,200,1,1
245,3697.5,200,200,1,1
246,3697.5,200,200,1,1
247,3697.5,200,200,1,1
248,3697.5,200,200,1,1
249,3697.5,200,200,1,1
250,3697.5,200,200,1,1
251,3697.5,200,200,1,1
252,3697.5,200,200,1,1
253,3697.5,200,200,1,1
254,3697.5,200,200,1,1
255,3697.5,200,200,1,1
256,3697.5,200,200,1,1
257,3697.5,200,200,1,1
258,3697.5,200,200,1,1
259,3697.5,200,200,1,1
260,3697.5,200,200,1,1
261,3697.5,200,200,1,1
262,3697.5,200,200,1,1
263,3697.5,200,200,1,1
264,3697.5,200,200,1,1
265,3697.5,200,200,1,1
266,3697.5,200,200,1,1
267,3697.5,200,200,1,1
268,3697.5,200,200,1,1
269,3697.5,200,200,1,1
270,3697.5,200,200,1,1
271,3697.5,200,200,1,1
272,3697.5,200,200,1,1
273,3697.5,200,200,1,1
274,3697.5,200,200,1,1
275,3697.5,200,200,1,1
276,3697.5,200,200,1,1
277,3697.5,200,200,1,1
278,3697.5,200,200,1,1
279,3697.5,200,200,1,1
280,3697.5,200,200,1,1
281,3697.5,200,200,1,1
282,3697.5,200,200,1,1
283,3697.5,200,200,1,1
284,3697.5,200,200,1,1
285,3697.5,200,200,1,1
286,3697.5,200,200,1,1
287,3697.5,200,200,1,1
288,3697.5,200,200,1,1
289,3697.5,200,200,1,1
290,3697.5,200,200,1,1
291,3697.5,200,200,1,1
292,3697.5,200,200,1,1
293,3697.5,200,200,1,1
294,3697.5,200,200,1,1
295,3697.5,200,200,1,1
296,3697.5,200,200,1,1
297,3697.5,200,200,1,1
298,3697.5,200,200,1,1
299,3697.5,200,200,1,1
300,3697.5,200,200,1,1
301,3697.5,200,200,1,1
302,3697.5,200,200,1,1
303,3697.5,200,200,1,1
304,3697.5,200,200,1,1
305,3697.5,200,200,1,1
306,3697.5,200,200,1,1
307,3697.5,200,200,1,1
308,3697.5,200,200,1,1
309,3697.5,200,200,1,1
310,3697.5,200,200,1,1
311,3697.5,200,200,1,1
312,3697.5,200,200,1,1
313,3697.5,200,200,1,1
314,3697.5,200,200,1,1
315,3697.5,200,200,1,1
316,3697.5,200,200,1,1
317,3697.5,200,200,1,1
318,3697.5,200,200,1,1
319,3697.5,200,200,1,1
320,3697.5,200,200,1,1
321,3697.5,200,200,1,1
322,3697.5,200,200,1,1
323,3697.5,200,200,1,1
324,3697.5,200,200,1,1
325,3697.5,200,200,1,1
326,3697.5,200,200,1,1
327,3697.5,200,200,1,1
328,3697.5,200,200,1,1
329,3697.5,200,200,1,1
330,3697.5,200,200,1,1
331,3697.5,200,200,1,1
332,3697.5,200,200,1,1
333,3697.5,200,200,1,1
334,3697.5,200,200,1,1
335,3697.5,200,200,1,1
336,3697.5,200,200,1,1
337,3697.5,200,200,1,1
338,3697.5,200,200,1,1
339,3697.5,200,200,1,1
340,3697.5,200,200,1,1
341,3697.5,200,200,1,1
342,3697.5,200,200,1,1
343,3697.5,200,200,1,1
344,3697.5,200,200,1,1
345,3697.5,200,200,1,1
346,3697.5,200,200,1,1
347,3697.5,200,200,1,1
348,3697.5,200,200,1,1
349,3697.5,200,200,1,1
350,3697.5,200,200,1,1
351,3697.5,200,200,1,1
352,3697.5,200,200,1,1
353,3697.5,200,200,1,1
354,3697.5,200,200,1,1
355,3697.5,200,200,1,1
356,3697.5,200,200,1,1
357,3697.5,200,200,1,1
358,3697.5,200,200,1,1
359,3697.5,200,200,1,1
360,3697.5,200,200,1,1
361,3697.5,200,200,1,1
362,3697.5,200,200,1,1
363,3697.5,200,200,1,1
364,3697.5,200,200,1,1
365,3697.5,200,200,1,1
366,3697.5,200,200,1,1
367,3697.5,200,200,1,1
368,3697.5,200,200,1,1
369,3697.5,200,200,1,1
370,3697.5,200,200,1,1
371,3697.5,200,200,1,1
372,3697.5,200,200,1,1
373,3697.5,200,200,1,1
374,3697.5,200,200,1,1
375,3697.5,200,200,1,1
376,3697.5,200,200,1,1
377,3697.5,200,200,1,1
378,3697.5,200,200,1,1
379,3697.5,200,200,1,1
380,3697.5,200,200,1,1
381,3697.5,200,200,1,1
382,3697.5,200,200,1,1
383,3697.5,200,200,1,1
384,3697.5,200,200,1,1
385,3697.5,200,200,1,1
386,3697.5,200,200,1,1
387,3697.5,200,200,1,1
388,3697.5,200,200,1,1
389,3697.5,200,200,1,1
390,3697.5,200,200,1,1
391,3697.5,200,200,1,1
392,3697.5,200,200,1,1
393,3697.5,200,200,1,1
394,3697.5,200,200,1,1
395,3697.5,200,200,1,1
396,3697.5,200,200,1,1
397,3697.5,200,200,1,1
398,3697.5,200,200,1,1
399,3697.5,200,200,1,1
400,3697.5,200,200,1,1
401,3697.5,200,200,1,1
402,3697.5,200,200,1,1
403,3697.5,200,200,1,1
404,3697.5,200,200,1,1
405,3697.5,200,200,1,1
406,3697.5,200,200,1,1
407,3697.5,200,200,1,1
408,3697.5,200,200,1,1
409,3697.5,200,200,1,1
410,3697.5,200,200,1,1
411,3697.5,200,200,1,1
412,3697.5,200,200,1,1
413,3697.5,200,200,1,1
414,3697.5,200,200,1,1
415,3697.5,200,200,1,1
416,3697.5,200,200,1,1
417,3697.5,200,200,1,1
418,3697.5,200,200,1,1
419,3697.5,200,200,1,1
420,3697.5,200,200,1,1
421,3697.5,200,200,1,1
422,3697.5,200,200,1,1
423,3697.5,200,200,1,1
424,3697.5,200,200,1,1
425,3697.5,200,200,1,1
426,3697.5,200,200,1,1
427,3697.5,200,200,1,1
428,3697.5,200,200,1,1
429,3697.5,200,200,1,1
430,3697.5,200,200,1,1
431,3697.5,200,200,1,1
432,3697.5,200,200,1,1
433,3697.5,200,200,1,1
434,3697.5,200,200,1,1
435,3697.5,200,200,1,1
436,3697.5,200,200,1,1
437,3697.5,200,200,1,1
438,3697.5,200,200,1,1
439,3697.5,200,200,1,1
440,3697.5,200,200,1,1
441,3697.5,200,200,1,1
442,3697.5,200,200,1,1
443,3697.5,200,200,1,1
444,3697.5,200,200,1,1
445,3697.5,200,200,1,1
446,3697.5,200,200,1,1
447,3697.5,200,200,1,1
448,3697.5,200,200,1,1
449,3697.5,200,200,1,1
450,3697.5,200,200,1,1
451,3697.5,200,200,1,1
452,3697.5,200,200,1,1
453,3697.5,200,200,1,1
454,3697.5,200,200,1,1
455,3697.5,200,200,1,1
456,3697.5,200,200,1,1
457,3697.5,200,200,1,1
458,3697.5,200,200,1,1
459,3697.5,200,200,1,1
460,3697.5,200,200,1,1
461,3697.5,200,200,1,1
462,3697.5,200,200,1,1
463,3697.5,200,200,1,1
464,3697.5,200,200,1,1
465,3697.5,200,200,1,1
466,3697.5,200,200,1,1
467,3697.5,200,200,1,1
468,3697.5,200,200,1,1
469,3697.5,200,200,1,1
470,3697.5,200,200,1,1
